Yahoo_Ticker,Ticker,Name,Sector,Country,Currency_Yahoo
INTU,INTU,Intuit Inc.,Information Technology,USA,EURUSD=X
ISRG,ISRG,Intuitive Surgical Inc.,Health Care,USA,EURUSD=X
IVZ,IVZ,Invesco Ltd.,Financials,USA,EURUSD=X
IPGP,IPGP,IPG Photonics Corp.,Information Technology,USA,EURUSD=X
IQV,IQV,IQVIA Holdings Inc.,Health Care,USA,EURUSD=X
IRM,IRM,Iron Mountain Incorporated,Real Estate,USA,EURUSD=X
JKHY,JKHY,Jack Henry & Associates,Information Technology,USA,EURUSD=X
J,J,Jacobs Engineering Group,Industrials,USA,EURUSD=X
JBHT,JBHT,J. B. Hunt Transport Services,Industrials,USA,EURUSD=X
SJM,SJM,JM Smucker,Consumer Staples,USA,EURUSD=X
JNJ,JNJ,Johnson & Johnson,Health Care,USA,EURUSD=X
JCI,JCI,Johnson Controls International,Industrials,USA,EURUSD=X
JPM,JPM,JPMorgan Chase & Co.,Financials,USA,EURUSD=X
JNPR,JNPR,Juniper Networks,Information Technology,USA,EURUSD=X
KSU,KSU,Kansas City Southern,Industrials,USA,EURUSD=X
K,K,Kellogg Co.,Consumer Staples,USA,EURUSD=X
KEY,KEY,KeyCorp,Financials,USA,EURUSD=X
KEYS,KEYS,Keysight Technologies,Information Technology,USA,EURUSD=X
KMB,KMB,Kimberly-Clark,Consumer Staples,USA,EURUSD=X
KIM,KIM,Kimco Realty,Real Estate,USA,EURUSD=X
KMI,KMI,Kinder Morgan,Energy,USA,EURUSD=X
KLAC,KLAC,KLA Corporation,Information Technology,USA,EURUSD=X
KSS,KSS,Kohl's Corp.,Consumer Discretionary,USA,EURUSD=X
KHC,KHC,Kraft Heinz Co,Consumer Staples,USA,EURUSD=X
KR,KR,Kroger Co.,Consumer Staples,USA,EURUSD=X
LB,LB,L Brands Inc.,Consumer Discretionary,USA,EURUSD=X
LHX,LHX,L3Harris Technologies,Industrials,USA,EURUSD=X
LH,LH,Laboratory Corp. of America Holding,Health Care,USA,EURUSD=X
LRCX,LRCX,Lam Research,Information Technology,USA,EURUSD=X
LW,LW,Lamb Weston Holdings Inc,Consumer Staples,USA,EURUSD=X
LVS,LVS,Las Vegas Sands,Consumer Discretionary,USA,EURUSD=X
LEG,LEG,Leggett & Platt,Consumer Discretionary,USA,EURUSD=X
LDOS,LDOS,Leidos Holdings,Information Technology,USA,EURUSD=X
LEN,LEN,Lennar Corp.,Consumer Discretionary,USA,EURUSD=X
LLY,LLY,Lilly (Eli) & Co.,Health Care,USA,EURUSD=X
LNC,LNC,Lincoln National,Financials,USA,EURUSD=X
LIN,LIN,Linde plc,Materials,USA,EURUSD=X
LYV,LYV,Live Nation Entertainment,Communication Services,USA,EURUSD=X
LKQ,LKQ,LKQ Corporation,Consumer Discretionary,USA,EURUSD=X
LMT,LMT,Lockheed Martin Corp.,Industrials,USA,EURUSD=X
L,L,Loews Corp.,Financials,USA,EURUSD=X
LOW,LOW,Lowe's Cos.,Consumer Discretionary,USA,EURUSD=X
LYB,LYB,LyondellBasell,Materials,USA,EURUSD=X
MTB,MTB,M&T Bank Corp.,Financials,USA,EURUSD=X
M,M,Macy's Inc.,Consumer Discretionary,USA,EURUSD=X
MRO,MRO,Marathon Oil Corp.,Energy,USA,EURUSD=X
MPC,MPC,Marathon Petroleum,Energy,USA,EURUSD=X
MKTX,MKTX,MarketAxess,Financials,USA,EURUSD=X
MAR,MAR,Marriott Int'l.,Consumer Discretionary,USA,EURUSD=X
MMC,MMC,Marsh & McLennan,Financials,USA,EURUSD=X
MLM,MLM,Martin Marietta Materials,Materials,USA,EURUSD=X
MAS,MAS,Masco Corp.,Industrials,USA,EURUSD=X
MA,MA,Mastercard Inc.,Information Technology,USA,EURUSD=X
MKC,MKC,McCormick & Co.,Consumer Staples,USA,EURUSD=X
MXIM,MXIM,Maxim Integrated Products Inc,Information Technology,USA,EURUSD=X
MCD,MCD,McDonald's Corp.,Consumer Discretionary,USA,EURUSD=X
MCK,MCK,McKesson Corp.,Health Care,USA,EURUSD=X
MDT,MDT,Medtronic plc,Health Care,USA,EURUSD=X
MRK,MRK,Merck & Co.,Health Care,USA,EURUSD=X
MET,MET,MetLife Inc.,Financials,USA,EURUSD=X
MTD,MTD,Mettler Toledo,Health Care,USA,EURUSD=X
MGM,MGM,MGM Resorts International,Consumer Discretionary,USA,EURUSD=X
MCHP,MCHP,Microchip Technology,Information Technology,USA,EURUSD=X
MU,MU,Micron Technology,Information Technology,USA,EURUSD=X
MSFT,MSFT,Microsoft Corp.,Information Technology,USA,EURUSD=X
MAA,MAA,Mid-America Apartments,Real Estate,USA,EURUSD=X
MHK,MHK,Mohawk Industries,Consumer Discretionary,USA,EURUSD=X
TAP,TAP,Molson Coors Brewing Company,Consumer Staples,USA,EURUSD=X
MDLZ,MDLZ,Mondelez International,Consumer Staples,USA,EURUSD=X
MNST,MNST,Monster Beverage,Consumer Staples,USA,EURUSD=X
MCO,MCO,Moody's Corp,Financials,USA,EURUSD=X
MS,MS,Morgan Stanley,Financials,USA,EURUSD=X
MOS,MOS,The Mosaic Company,Materials,USA,EURUSD=X
MSI,MSI,Motorola Solutions Inc.,Information Technology,USA,EURUSD=X
MSCI,MSCI,MSCI Inc,Financials,USA,EURUSD=X
MYL,MYL,Mylan N.V.,Health Care,USA,EURUSD=X
NDAQ,NDAQ,"Nasdaq, Inc.",Financials,USA,EURUSD=X
NOV,NOV,National Oilwell Varco Inc.,Energy,USA,EURUSD=X
NTAP,NTAP,NetApp,Information Technology,USA,EURUSD=X
NFLX,NFLX,Netflix Inc.,Communication Services,USA,EURUSD=X
NWL,NWL,Newell Brands,Consumer Discretionary,USA,EURUSD=X
NEM,NEM,Newmont Corporation,Materials,USA,EURUSD=X
NWSA,NWSA,News Corp. Class A,Communication Services,USA,EURUSD=X
NWS,NWS,News Corp. Class B,Communication Services,USA,EURUSD=X
NEE,NEE,NextEra Energy,Utilities,USA,EURUSD=X
NLSN,NLSN,Nielsen Holdings,Industrials,USA,EURUSD=X
NKE,NKE,Nike,Consumer Discretionary,USA,EURUSD=X
NI,NI,NiSource Inc.,Utilities,USA,EURUSD=X
NBL,NBL,Noble Energy Inc,Energy,USA,EURUSD=X
JWN,JWN,Nordstrom,Consumer Discretionary,USA,EURUSD=X
NSC,NSC,Norfolk Southern Corp.,Industrials,USA,EURUSD=X
NTRS,NTRS,Northern Trust Corp.,Financials,USA,EURUSD=X
NOC,NOC,Northrop Grumman,Industrials,USA,EURUSD=X
NLOK,NLOK,NortonLifeLock,Information Technology,USA,EURUSD=X
NCLH,NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary,USA,EURUSD=X
NRG,NRG,NRG Energy,Utilities,USA,EURUSD=X
