Date,Strategy_1,Strategy_2,Strategy_3,Buy_and_Hold
3/1/1955,0,0,0,1
4/1/1955,0,0,0,1
5/1/1955,0,0,0,1
6/1/1955,0,0,0,1
7/1/1955,0,0,0,1
8/1/1955,0,0,0,1
9/1/1955,0,0,0,1
10/1/1955,0,0,0,1
11/1/1955,0,0,0,1
12/1/1955,0,0,0,1
1/1/1956,0,0,0,1
2/1/1956,0,0,0,1
3/1/1956,0,0,0,1
4/1/1956,0,0,0,1
5/1/1956,0,0,0,1
6/1/1956,0,0,0,1
7/1/1956,0,0,0,1
8/1/1956,0,0,0,1
9/1/1956,0,0,0,1
10/1/1956,0,0,0,1
11/1/1956,0,0,0,1
12/1/1956,0,0,0,1
1/1/1957,0,0,0,1
2/1/1957,0,0,0,1
3/1/1957,0,0,0,1
4/1/1957,0,0,0,1
5/1/1957,0,0,0,1
6/1/1957,0,0,0,1
7/1/1957,0,0,0,1
8/1/1957,0,0,0,1
9/1/1957,0,0,0,1
10/1/1957,0,0,0,1
11/1/1957,0,0,0,1
12/1/1957,0,0,0,1
1/1/1958,1,1,1,1
2/1/1958,1,1,1,1
3/1/1958,1,1,1,1
4/1/1958,1,1,1,1
5/1/1958,1,1,1,1
6/1/1958,1,1,1,1
7/1/1958,1,1,1,1
8/1/1958,1,1,1,1
9/1/1958,1,1,1,1
10/1/1958,1,1,1,1
11/1/1958,1,1,1,1
12/1/1958,1,1,1,1
1/1/1959,1,1,1,1
2/1/1959,1,1,1,1
3/1/1959,1,1,1,1
4/1/1959,1,1,1,1
5/1/1959,1,1,1,1
6/1/1959,1,1,1,1
7/1/1959,1,1,1,1
8/1/1959,1,1,1,1
9/1/1959,1,1,1,1
10/1/1959,1,1,1,1
11/1/1959,1,1,1,1
12/1/1959,1,1,1,1
1/1/1960,1,1,1,1
2/1/1960,1,1,1,1
3/1/1960,1,1,1,1
4/1/1960,1,1,1,1
5/1/1960,1,1,1,1
6/1/1960,1,1,1,1
7/1/1960,1,1,1,1
8/1/1960,1,1,1,1
9/1/1960,1,1,1,1
10/1/1960,1,1,1,1
11/1/1960,1,1,1,1
12/1/1960,1,1,1,1
1/1/1961,1,1,1,1
2/1/1961,1,1,1,1
3/1/1961,1,1,1,1
4/1/1961,1,1,1,1
5/1/1961,1,1,1,1
6/1/1961,1,1,1,1
7/1/1961,1,1,1,1
8/1/1961,1,1,1,1
9/1/1961,1,1,1,1
10/1/1961,1,1,1,1
11/1/1961,1,1,1,1
12/1/1961,1,1,1,1
1/1/1962,0,1,1,1
2/1/1962,0,1,1,1
3/1/1962,0,1,1,1
4/1/1962,0,1,1,1
5/1/1962,0,1,1,1
6/1/1962,0,1,1,1
7/1/1962,0,1,1,1
8/1/1962,0,1,1,1
9/1/1962,0,1,1,1
10/1/1962,0,1,1,1
11/1/1962,0,1,1,1
12/1/1962,0,1,1,1
1/1/1963,0,1,1,1
2/1/1963,0,1,1,1
3/1/1963,0,1,1,1
4/1/1963,0,1,1,1
5/1/1963,0,1,1,1
6/1/1963,0,1,1,1
7/1/1963,0,1,1,1
8/1/1963,0,1,1,1
9/1/1963,0,1,1,1
10/1/1963,0,1,1,1
11/1/1963,0,1,1,1
12/1/1963,0,1,1,1
1/1/1964,0,1,1,1
2/1/1964,0,1,1,1
3/1/1964,0,1,1,1
4/1/1964,0,1,1,1
5/1/1964,0,1,1,1
6/1/1964,0,1,1,1
7/1/1964,0,1,1,1
8/1/1964,0,1,1,1
9/1/1964,0,1,1,1
10/1/1964,0,1,1,1
11/1/1964,0,1,1,1
12/1/1964,0,1,1,1
1/1/1965,0,0,-1,1
2/1/1965,0,0,-1,1
3/1/1965,0,0,-1,1
4/1/1965,0,0,-1,1
5/1/1965,0,0,-1,1
6/1/1965,0,0,-1,1
7/1/1965,0,0,-1,1
8/1/1965,0,0,-1,1
9/1/1965,0,0,-1,1
10/1/1965,0,0,-1,1
11/1/1965,0,0,-1,1
12/1/1965,0,0,-1,1
1/1/1966,0,0,-1,1
2/1/1966,0,0,-1,1
3/1/1966,0,0,-1,1
4/1/1966,0,0,-1,1
5/1/1966,0,0,-1,1
6/1/1966,0,0,-1,1
7/1/1966,0,0,-1,1
8/1/1966,0,0,-1,1
9/1/1966,0,0,-1,1
10/1/1966,0,0,-1,1
11/1/1966,0,0,-1,1
12/1/1966,0,0,-1,1
1/1/1967,0,0,-1,1
2/1/1967,0,0,-1,1
3/1/1967,0,0,-1,1
4/1/1967,0,0,-1,1
5/1/1967,0,0,-1,1
6/1/1967,0,0,-1,1
7/1/1967,0,0,-1,1
8/1/1967,0,0,-1,1
9/1/1967,0,0,-1,1
10/1/1967,0,0,-1,1
11/1/1967,0,0,-1,1
12/1/1967,0,0,-1,1
1/1/1968,0,0,-1,1
2/1/1968,0,0,-1,1
3/1/1968,0,0,-1,1
4/1/1968,0,0,-1,1
5/1/1968,0,0,-1,1
6/1/1968,0,0,-1,1
7/1/1968,0,0,-1,1
8/1/1968,0,0,-1,1
9/1/1968,0,0,-1,1
10/1/1968,0,0,-1,1
11/1/1968,0,0,-1,1
12/1/1968,0,0,-1,1
1/1/1969,1,1,1,1
2/1/1969,1,1,1,1
3/1/1969,1,1,1,1
4/1/1969,1,1,1,1
5/1/1969,1,1,1,1
6/1/1969,1,1,1,1
7/1/1969,1,1,1,1
8/1/1969,1,1,1,1
9/1/1969,1,1,1,1
10/1/1969,1,1,1,1
11/1/1969,1,1,1,1
12/1/1969,1,1,1,1
1/1/1970,1,1,1,1
2/1/1970,1,1,1,1
3/1/1970,1,1,1,1
4/1/1970,1,1,1,1
5/1/1970,1,1,1,1
6/1/1970,1,1,1,1
7/1/1970,1,1,1,1
8/1/1970,1,1,1,1
9/1/1970,1,1,1,1
10/1/1970,1,1,1,1
11/1/1970,1,1,1,1
12/1/1970,1,1,1,1
1/1/1971,1,1,1,1
2/1/1971,1,1,1,1
3/1/1971,1,1,1,1
4/1/1971,1,1,1,1
5/1/1971,1,1,1,1
6/1/1971,1,1,1,1
7/1/1971,1,1,1,1
8/1/1971,1,1,1,1
9/1/1971,1,1,1,1
10/1/1971,1,1,1,1
11/1/1971,1,1,1,1
12/1/1971,1,1,1,1
1/1/1972,0,0,0,1
2/1/1972,0,0,0,1
3/1/1972,0,0,0,1
4/1/1972,0,0,0,1
5/1/1972,0,0,0,1
6/1/1972,0,0,0,1
7/1/1972,0,0,0,1
8/1/1972,0,0,0,1
9/1/1972,0,0,0,1
10/1/1972,0,0,0,1
11/1/1972,0,0,0,1
12/1/1972,0,0,0,1
1/1/1973,0,0,0,1
2/1/1973,0,0,0,1
3/1/1973,0,0,0,1
4/1/1973,0,0,0,1
5/1/1973,0,0,0,1
6/1/1973,0,0,0,1
7/1/1973,0,0,0,1
8/1/1973,0,0,0,1
9/1/1973,0,0,0,1
10/1/1973,0,0,0,1
11/1/1973,0,0,0,1
12/1/1973,0,0,0,1
1/1/1974,0,0,0,1
2/1/1974,0,0,0,1
3/1/1974,0,0,0,1
4/1/1974,0,0,0,1
5/1/1974,0,0,0,1
6/1/1974,0,0,0,1
7/1/1974,0,0,0,1
8/1/1974,0,0,0,1
9/1/1974,0,0,0,1
10/1/1974,0,0,0,1
11/1/1974,0,0,0,1
12/1/1974,0,0,0,1
1/1/1975,0,0,0,1
2/1/1975,0,0,0,1
3/1/1975,0,0,0,1
4/1/1975,0,0,0,1
5/1/1975,0,0,0,1
6/1/1975,0,0,0,1
7/1/1975,0,0,0,1
8/1/1975,0,0,0,1
9/1/1975,0,0,0,1
10/1/1975,0,0,0,1
11/1/1975,0,0,0,1
12/1/1975,0,0,0,1
1/1/1976,0,0,0,1
2/1/1976,0,0,0,1
3/1/1976,0,0,0,1
4/1/1976,0,0,0,1
5/1/1976,0,0,0,1
6/1/1976,0,0,0,1
7/1/1976,0,0,0,1
8/1/1976,0,0,0,1
9/1/1976,0,0,0,1
10/1/1976,0,0,0,1
11/1/1976,0,0,0,1
12/1/1976,0,0,0,1
1/1/1977,0,0,0,1
2/1/1977,0,0,0,1
3/1/1977,0,0,0,1
4/1/1977,0,0,0,1
5/1/1977,0,0,0,1
6/1/1977,0,0,0,1
7/1/1977,0,0,0,1
8/1/1977,0,0,0,1
9/1/1977,0,0,0,1
10/1/1977,0,0,0,1
11/1/1977,0,0,0,1
12/1/1977,0,0,0,1
1/1/1978,1,1,1,1
2/1/1978,1,1,1,1
3/1/1978,1,1,1,1
4/1/1978,1,1,1,1
5/1/1978,1,1,1,1
6/1/1978,1,1,1,1
7/1/1978,1,1,1,1
8/1/1978,1,1,1,1
9/1/1978,1,1,1,1
10/1/1978,1,1,1,1
11/1/1978,1,1,1,1
12/1/1978,1,1,1,1
1/1/1979,1,1,1,1
2/1/1979,1,1,1,1
3/1/1979,1,1,1,1
4/1/1979,1,1,1,1
5/1/1979,1,1,1,1
6/1/1979,1,1,1,1
7/1/1979,1,1,1,1
